Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
1,Finland,7.7690000000000001,1.3400000000000001,1.587,0.98599999999999999,0.59599999999999997,0.153,0.39300000000000002,Eu
2,Denmark,7.5999999999999996,1.383,1.573,0.996,0.59199999999999997,0.252,0.40999999999999998,Eu
3,Norway,7.5540000000000003,1.488,1.5820000000000001,1.028,0.60299999999999998,0.27100000000000002,0.34100000000000003,Eu
4,Iceland,7.4939999999999998,1.3799999999999999,1.6240000000000001,1.026,0.59099999999999997,0.35399999999999998,0.11799999999999999,Eu
5,Netherlands,7.4880000000000004,1.3959999999999999,1.522,0.999,0.55700000000000005,0.32200000000000001,0.29799999999999999,Eu
6,Switzerland,7.4800000000000004,1.452,1.526,1.052,0.57199999999999995,0.26300000000000001,0.34300000000000003,Eu
7,Sweden,7.343,1.387,1.4870000000000001,1.0089999999999999,0.57399999999999995,0.26700000000000002,0.373,Eu
8,New Zealand,7.3070000000000004,1.3029999999999999,1.5569999999999999,1.026,0.58499999999999996,0.33000000000000002,0.38,Oce
9,Canada,7.2779999999999996,1.365,1.5049999999999999,1.0389999999999999,0.58399999999999996,0.28499999999999998,0.308,Na
10,Austria,7.2460000000000004,1.3759999999999999,1.4750000000000001,1.016,0.53200000000000003,0.24399999999999999,0.22600000000000001,Eu
11,Australia,7.2279999999999998,1.3720000000000001,1.548,1.036,0.55700000000000005,0.33200000000000002,0.28999999999999998,Oce
12,Costa Rica,7.1669999999999998,1.034,1.4410000000000001,0.96299999999999997,0.55800000000000005,0.14399999999999999,0.092999999999999999,Na
13,Israel,7.1390000000000002,1.276,1.4550000000000001,1.0289999999999999,0.371,0.26100000000000001,0.082000000000000003,Asia
14,Luxembourg,7.0899999999999999,1.609,1.4790000000000001,1.012,0.52600000000000002,0.19400000000000001,0.316,Eu
15,United Kingdom,7.0540000000000003,1.333,1.538,0.996,0.45000000000000001,0.34799999999999998,0.27800000000000002,Eu
16,Ireland,7.0209999999999999,1.4990000000000001,1.5529999999999999,0.999,0.51600000000000001,0.29799999999999999,0.31,Eu
17,Germany,6.9850000000000003,1.373,1.454,0.98699999999999999,0.495,0.26100000000000001,0.26500000000000001,Eu
18,Belgium,6.923,1.3560000000000001,1.504,0.98599999999999999,0.47299999999999998,0.16,0.20999999999999999,Eu
19,United States,6.8920000000000003,1.4330000000000001,1.4570000000000001,0.874,0.45400000000000001,0.28000000000000003,0.128,Na
20,Czech Republic,6.8520000000000003,1.2689999999999999,1.4870000000000001,0.92000000000000004,0.45700000000000002,0.045999999999999999,0.035999999999999997,Eu
21,United Arab Emirates,6.8250000000000002,1.5029999999999999,1.3100000000000001,0.82499999999999996,0.59799999999999998,0.26200000000000001,0.182,Asia
22,Malta,6.726,1.3,1.52,0.999,0.56399999999999995,0.375,0.151,Eu
23,Mexico,6.5949999999999998,1.0700000000000001,1.323,0.86099999999999999,0.433,0.073999999999999996,0.072999999999999995,Na
24,France,6.5919999999999996,1.3240000000000001,1.472,1.0449999999999999,0.436,0.111,0.183,Eu
25,Taiwan,6.4459999999999997,1.3680000000000001,1.4299999999999999,0.91400000000000003,0.35099999999999998,0.24199999999999999,0.097000000000000003,Asia
26,Chile,6.444,1.159,1.369,0.92000000000000004,0.35699999999999998,0.187,0.056000000000000001,Sa
27,Guatemala,6.4359999999999999,0.80000000000000004,1.2689999999999999,0.746,0.53500000000000003,0.17499999999999999,0.078,Na
28,Saudi Arabia,6.375,1.403,1.357,0.79500000000000004,0.439,0.080000000000000002,0.13200000000000001,Asia
29,Qatar,6.3739999999999997,1.6839999999999999,1.3129999999999999,0.871,0.55500000000000005,0.22,0.16700000000000001,Asia
30,Spain,6.3540000000000001,1.286,1.484,1.0620000000000001,0.36199999999999999,0.153,0.079000000000000001,Eu
31,Panama,6.3209999999999997,1.149,1.4419999999999999,0.91000000000000003,0.51600000000000001,0.109,0.053999999999999999,Na
32,Brazil,6.2999999999999998,1.004,1.4390000000000001,0.80200000000000005,0.39000000000000001,0.099000000000000005,0.085999999999999993,Sa
33,Uruguay,6.2930000000000001,1.1240000000000001,1.4650000000000001,0.89100000000000001,0.52300000000000002,0.127,0.14999999999999999,Sa
34,Singapore,6.2619999999999996,1.5720000000000001,1.4630000000000001,1.141,0.55600000000000005,0.27100000000000002,0.45300000000000001,Asia
35,El Salvador,6.2530000000000001,0.79400000000000004,1.242,0.78900000000000003,0.42999999999999999,0.092999999999999999,0.073999999999999996,Na
36,Italy,6.2229999999999999,1.294,1.488,1.0389999999999999,0.23100000000000001,0.158,0.029999999999999999,Eu
37,Bahrain,6.1989999999999998,1.3620000000000001,1.3680000000000001,0.871,0.53600000000000003,0.255,0.11,Asia
38,Slovakia,6.1980000000000004,1.246,1.504,0.88100000000000001,0.33400000000000002,0.121,0.014,Eu
39,Trinidad & Tobago,6.1920000000000002,1.2310000000000001,1.4770000000000001,0.71299999999999997,0.48899999999999999,0.185,0.016,Sa
40,Poland,6.1820000000000004,1.206,1.4379999999999999,0.88400000000000001,0.48299999999999998,0.11700000000000001,0.050000000000000003,Eu
41,Uzbekistan,6.1740000000000004,0.745,1.5289999999999999,0.75600000000000001,0.63100000000000001,0.32200000000000001,0.23999999999999999,Asia
42,Lithuania,6.149,1.238,1.5149999999999999,0.81799999999999995,0.29099999999999998,0.042999999999999997,0.042000000000000003,Eu
43,Colombia,6.125,0.98499999999999999,1.4099999999999999,0.84099999999999997,0.46999999999999997,0.099000000000000005,0.034000000000000002,Sa
44,Slovenia,6.1180000000000003,1.258,1.5229999999999999,0.95299999999999996,0.56399999999999995,0.14399999999999999,0.057000000000000002,Eu
45,Nicaragua,6.1050000000000004,0.69399999999999995,1.325,0.83499999999999996,0.435,0.20000000000000001,0.127,Na
46,Kosovo,6.0999999999999996,0.88200000000000001,1.232,0.75800000000000001,0.48899999999999999,0.26200000000000001,0.0060000000000000001,Eu
47,Argentina,6.0860000000000003,1.0920000000000001,1.4319999999999999,0.88100000000000001,0.47099999999999997,0.066000000000000003,0.050000000000000003,Sa
48,Romania,6.0700000000000003,1.1619999999999999,1.232,0.82499999999999996,0.46200000000000002,0.083000000000000004,0.0050000000000000001,Eu
49,Cyprus,6.0460000000000003,1.2629999999999999,1.2230000000000001,1.042,0.40600000000000003,0.19,0.041000000000000002,Eu
50,Ecuador,6.0279999999999996,0.91200000000000003,1.3120000000000001,0.86799999999999999,0.498,0.126,0.086999999999999994,Sa
51,Kuwait,6.0209999999999999,1.5,1.319,0.80800000000000005,0.49299999999999999,0.14199999999999999,0.097000000000000003,Asia
52,Thailand,6.008,1.05,1.409,0.82799999999999996,0.55700000000000005,0.35899999999999999,0.028000000000000001,Asia
53,Latvia,5.9400000000000004,1.1870000000000001,1.4650000000000001,0.81200000000000006,0.26400000000000001,0.074999999999999997,0.064000000000000001,Eu
54,South Korea,5.8949999999999996,1.3009999999999999,1.2190000000000001,1.036,0.159,0.17499999999999999,0.056000000000000001,Asia
55,Estonia,5.8929999999999998,1.2370000000000001,1.528,0.874,0.495,0.10299999999999999,0.161,Eu
56,Jamaica,5.8899999999999997,0.83099999999999996,1.478,0.83099999999999996,0.48999999999999999,0.107,0.028000000000000001,Na
57,Mauritius,5.8879999999999999,1.1200000000000001,1.4019999999999999,0.79800000000000004,0.498,0.215,0.059999999999999998,Africa
58,Japan,5.8860000000000001,1.327,1.419,1.0880000000000001,0.44500000000000001,0.069000000000000006,0.14000000000000001,Asia
59,Honduras,5.8600000000000003,0.64200000000000002,1.236,0.82799999999999996,0.50700000000000001,0.246,0.078,Na
60,Kazakhstan,5.8090000000000002,1.173,1.508,0.72899999999999998,0.40999999999999998,0.14599999999999999,0.096000000000000002,Asia
61,Bolivia,5.7789999999999999,0.77600000000000002,1.2090000000000001,0.70599999999999996,0.51100000000000001,0.13700000000000001,0.064000000000000001,Sa
